disease,disease_type,group_type,feature,feature_type
禽流感,引起鸡冠肿胀的疾病,similar,鸡冠及肉垂肿胀,symptom
禽流感,引起鸡冠肿胀的疾病,similar,呈紫红色,other
禽流感,引起鸡冠肿胀的疾病,similar,眼睑水肿,other
禽流感,引起鸡冠肿胀的疾病,similar,流泪,symptom
禽流感,引起鸡冠肿胀的疾病,different,鸡冠有坏死灶,pathology
禽流感,引起鸡冠肿胀的疾病,different,趾及腿部磷片出血,symptom
禽流感,引起鸡冠肿胀的疾病,different,全身浆膜粘膜及内脏严重广泛出血,symptom
禽流感,引起鸡冠肿胀的疾病,different,喉部有明显肿胀,symptom
禽流感,引起鸡冠肿胀的疾病,different,鼻孔常有血色分泌物,other
禽霍乱,引起鸡冠肿胀的疾病,similar,鸡冠及肉垂肿胀,symptom
禽霍乱,引起鸡冠肿胀的疾病,similar,呈紫黑色,other
禽霍乱,引起鸡冠肿胀的疾病,different,16周龄以前的鸡较少发生,age_feature
禽霍乱,引起鸡冠肿胀的疾病,different,发病突然,other
禽霍乱,引起鸡冠肿胀的疾病,different,死亡多为强壮鸡,other
禽霍乱,引起鸡冠肿胀的疾病,different,高产鸡,other
禽霍乱,引起鸡冠肿胀的疾病,different,排绿色稀粪,symptom
禽霍乱,引起鸡冠肿胀的疾病,different,剖检变化为心冠脂肪出血,symptom
禽霍乱,引起鸡冠肿胀的疾病,different,肝脏出血,symptom
禽霍乱,引起鸡冠肿胀的疾病,different,十二指肠弥漫性出血,symptom
禽霍乱,引起鸡冠肿胀的疾病,different,慢性可见关节炎-,symptom
鸡痘,引起鸡冠肿胀的疾病,similar,皮肤型鸡痘头部,other
鸡痘,引起鸡冠肿胀的疾病,similar,鸡冠,other
鸡痘,引起鸡冠肿胀的疾病,similar,肉垂,other
鸡痘,引起鸡冠肿胀的疾病,similar,口角,other
鸡痘,引起鸡冠肿胀的疾病,similar,眼部位有痘疹,other
鸡痘,引起鸡冠肿胀的疾病,similar,黏膜型鸡痘眼脸肿胀,symptom
鸡痘,引起鸡冠肿胀的疾病,similar,流泪,symptom
鸡痘,引起鸡冠肿胀的疾病,similar,有粘性分泌物,other
鸡痘,引起鸡冠肿胀的疾病,different,皮肤型鸡痘无毛部皮肤及肛门周围,other
鸡痘,引起鸡冠肿胀的疾病,different,翅膀内侧均见痘疹,other
鸡痘,引起鸡冠肿胀的疾病,different,坏死后有痂皮,pathology
鸡痘,引起鸡冠肿胀的疾病,different,黏膜型在口腔及咽喉粘膜上有白色疽斑,other
鸡痘,引起鸡冠肿胀的疾病,different,突出于粘膜,other
鸡痘,引起鸡冠肿胀的疾病,different,相互融合,other
鸡痘,引起鸡冠肿胀的疾病,different,表面可形成黄白色假膜,other
大肠杆菌,引起鸡冠肿胀的疾病,similar,单侧型眼炎,other
大肠杆菌,引起鸡冠肿胀的疾病,similar,眼睑肿胀,symptom
大肠杆菌,引起鸡冠肿胀的疾病,similar,流泪,symptom
大肠杆菌,引起鸡冠肿胀的疾病,similar,有粘性分泌物,other
大肠杆菌,引起鸡冠肿胀的疾病,different,可引起多种类型病症,other
大肠杆菌,引起鸡冠肿胀的疾病,different,全眼球炎见于30-60日龄雏鸡,age_feature
大肠杆菌,引起鸡冠肿胀的疾病,different,严重的引起失明,other
大肠杆菌,引起鸡冠肿胀的疾病,different,还有败血症,other
大肠杆菌,引起鸡冠肿胀的疾病,different,气囊炎,pathology
大肠杆菌,引起鸡冠肿胀的疾病,different,雏鸡脐炎,age_feature
大肠杆菌,引起鸡冠肿胀的疾病,different,关节炎及肠炎等变化,other
传染性鼻炎,引起鸡冠肿胀的疾病,similar,单侧型眼肿,other
传染性鼻炎,引起鸡冠肿胀的疾病,similar,眶下部,other
传染性鼻炎,引起鸡冠肿胀的疾病,similar,面部肿胀,symptom
传染性鼻炎,引起鸡冠肿胀的疾病,similar,肉垂水肿,other
传染性鼻炎,引起鸡冠肿胀的疾病,different,成年鸡最易感,age_feature
传染性鼻炎,引起鸡冠肿胀的疾病,different,从鼻孔流出浆液性,other
传染性鼻炎,引起鸡冠肿胀的疾病,different,粘液性以至脓性恶臭分泌物,other
传染性鼻炎,引起鸡冠肿胀的疾病,different,鼻腔,other
传染性鼻炎,引起鸡冠肿胀的疾病,different,眶下窦粘腰充血,other
传染性鼻炎,引起鸡冠肿胀的疾病,different,肿胀,symptom
传染性鼻炎,引起鸡冠肿胀的疾病,different,腔窦内蓄积大量粘液,other
传染性鼻炎,引起鸡冠肿胀的疾病,different,脓性分泌物,other
传染性鼻炎,引起鸡冠肿胀的疾病,different,有时为干酪物,other
传染性鼻炎,引起鸡冠肿胀的疾病,different,眼膜浑浊,other
传染性鼻炎,引起鸡冠肿胀的疾病,different,眼球萎缩,other
鸡败血性支援体病,引起鸡冠肿胀的疾病,similar,颜面,other
鸡败血性支援体病,引起鸡冠肿胀的疾病,similar,眼睑,other
鸡败血性支援体病,引起鸡冠肿胀的疾病,similar,眶下窦肿胀,symptom
鸡败血性支援体病,引起鸡冠肿胀的疾病,similar,流泪,symptom
鸡败血性支援体病,引起鸡冠肿胀的疾病,similar,流鼻涕,other
鸡败血性支援体病,引起鸡冠肿胀的疾病,different,鼻腔,other
鸡败血性支援体病,引起鸡冠肿胀的疾病,different,眶下痘及腭裂蓄积大量粘液,other
鸡败血性支援体病,引起鸡冠肿胀的疾病,different,干酪样物质,other
鸡败血性支援体病,引起鸡冠肿胀的疾病,different,气囊增厚,pathology
鸡败血性支援体病,引起鸡冠肿胀的疾病,different,浑浊,other
鸡败血性支援体病,引起鸡冠肿胀的疾病,different,有泡沫样,other
鸡败血性支援体病,引起鸡冠肿胀的疾病,different,黄色干酪样物质,other
鸡败血性支援体病,引起鸡冠肿胀的疾病,different,肺门部有灰红色肺炎病灶,pathology
肿头综合症,引起鸡冠肿胀的疾病,similar,面部,other
肿头综合症,引起鸡冠肿胀的疾病,similar,眼周围水肿,other
肿头综合症,引起鸡冠肿胀的疾病,different,眼周,other
肿头综合症,引起鸡冠肿胀的疾病,different,肉垂,other
肿头综合症,引起鸡冠肿胀的疾病,different,下颌皮下水肿呈胶冻状,other
肿头综合症,引起鸡冠肿胀的疾病,different,有时为干酪样物质,other
肿头综合症,引起鸡冠肿胀的疾病,different,肠细粘膜水肿,other
肿头综合症,引起鸡冠肿胀的疾病,different,呈黄色胶冻状,other
VA缺乏症,引起鸡冠肿胀的疾病,similar,眼及面部肿胀,symptom
VA缺乏症,引起鸡冠肿胀的疾病,similar,流泪,symptom
VA缺乏症,引起鸡冠肿胀的疾病,similar,流鼻涕,other
VA缺乏症,引起鸡冠肿胀的疾病,different,眼睑肿胀,symptom
VA缺乏症,引起鸡冠肿胀的疾病,different,角膜软化,other
VA缺乏症,引起鸡冠肿胀的疾病,different,穿孔,other
VA缺乏症,引起鸡冠肿胀的疾病,different,眼球凹陷,other
VA缺乏症,引起鸡冠肿胀的疾病,different,失明,other
VA缺乏症,引起鸡冠肿胀的疾病,different,结膜囊内蓄积干酪样物质,other
VA缺乏症,引起鸡冠肿胀的疾病,different,口腔,other
VA缺乏症,引起鸡冠肿胀的疾病,different,食道粘膜有白色小米大结节,pathology
大肠杆菌病,引起腿部肿胀、引起运动性障碍的疾病,similar,关节肿大,other
大肠杆菌病,引起腿部肿胀、引起运动性障碍的疾病,similar,跛行,symptom
大肠杆菌病,引起腿部肿胀、引起运动性障碍的疾病,similar,触诊有波动感,clinical_sign
大肠杆菌病,引起腿部肿胀、引起运动性障碍的疾病,different,切开关节流出浑浊液体,other
大肠杆菌病,引起腿部肿胀、引起运动性障碍的疾病,different,重者关节腔内有干酪样物质,other
大肠杆菌病,引起腿部肿胀、引起运动性障碍的疾病,different,涂片镜检可见革蓝氏阴性小杆菌,symptom
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,similar,多个关节性肿胀,symptom
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,similar,以跗,other
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,similar,趾关节多见,other
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,similar,病鸡跛行,symptom
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,similar,不愿意站立走动,other
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,different,关节肿胀紫红,symptom
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,different,逐渐化脓,other
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,different,有的形成趾瘤,other
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,different,切开关节后,other
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,different,流出黄色脓汁,other
葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病,different,涂片镜检可见大量葡萄球菌,symptom
滑液囊关节炎,引起腿部肿胀、引起运动性障碍的疾病,similar,跗关节肿胀,symptom
滑液囊关节炎,引起腿部肿胀、引起运动性障碍的疾病,similar,触诊有波动感,clinical_sign
滑液囊关节炎,引起腿部肿胀、引起运动性障碍的疾病,similar,热感,other
滑液囊关节炎,引起腿部肿胀、引起运动性障碍的疾病,similar,站立,other
滑液囊关节炎,引起腿部肿胀、引起运动性障碍的疾病,similar,运动困难,other
滑液囊关节炎,引起腿部肿胀、引起运动性障碍的疾病,different,切开后关节囊内有粘稠液体,other
滑液囊关节炎,引起腿部肿胀、引起运动性障碍的疾病,different,干酪样物质,other
滑液囊关节炎,引起腿部肿胀、引起运动性障碍的疾病,different,多发于4-16周龄,age_feature
滑液囊关节炎,引起腿部肿胀、引起运动性障碍的疾病,different,偶尔见于成年鸡,age_feature
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,similar,跗关节及后侧腓肠肌腱,other
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,similar,腱鞘肿胀,symptom
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,similar,表现为拐腿,symptom
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,similar,跛行,symptom
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,similar,重者不能站立,other
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,different,多为侧性跗关节与腓肠肌腱肿胀,symptom
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,different,关节腔积液呈草黄色,other
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,different,淡红色,other
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,different,有时腓肠肌腱断裂,other
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,different,出血,symptom
病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病,different,外观病变部位呈青紫色,pathology
关节痛风,引起腿部肿胀、引起运动性障碍的疾病,similar,四肢关节肿胀,symptom
关节痛风,引起腿部肿胀、引起运动性障碍的疾病,similar,有的肢掌趾关节肿胀,symptom
关节痛风,引起腿部肿胀、引起运动性障碍的疾病,similar,走路不稳,other
关节痛风,引起腿部肿胀、引起运动性障碍的疾病,similar,跛行,symptom
关节痛风,引起腿部肿胀、引起运动性障碍的疾病,similar,重者不能站立,other
关节痛风,引起腿部肿胀、引起运动性障碍的疾病,different,关节囊内有淡黄,other
关节痛风,引起腿部肿胀、引起运动性障碍的疾病,different,灰色石灰乳样尿酸盐沉积,other
胆碱缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,跗关节轻度肿大,other
胆碱缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,周围点状出血,symptom
胆碱缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,长骨短粗,other
胆碱缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,跖骨变形变曲,other
胆碱缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,雏鸡,age_feature
胆碱缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,青年鸡可见滑腱症（骨骼畸形）,symptom
胆碱缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,肝脂肪含量增多,other
胆碱缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,成年鸡主要表现为机体脂肪过度沉积,symptom
胆碱缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,一般无关节病变,pathology
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,跗趾关节肿胀,symptom
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,肢趾向内卷曲成拳状,other
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,即“卷爪”,other
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,双脚不能站立,other
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,行走困难,other
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,两侧坐骨神经,other
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,臂神经显著肿大,other
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,变软,other
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,为正常的4-5倍,other
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,胃肠道粘膜萎缩,pathology
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,肠内有泡沫状内容物,other
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,多办发于育雏期,other
VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,产蛋高峰期,age_feature
VB6缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,长骨短粗,other
VB6缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,一般胫骨短粗,other
VB6缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,偶尔也会有滑腱症,other
VB6缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,头颈部麻痹症状,symptom
VB6缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,头无法抬起,other
VB6缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,向前伸直下垂,other
VB6缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,喙触地,other
VB6缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,雏鸡嘴角上下交错,age_feature
MN缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,长骨短粗,other
MN缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,跗关节明显肿胀,symptom
MN缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,腿屈曲无法站立,other
MN缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,行走,other
MN缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,长骨变短粗,other
MN缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,但不变软脆,other
MN缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,雏鸡表现为典型的滑腱症,symptom
CA缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,跗关节肥大,other
CA缺乏症,引起腿部肿胀、引起运动性障碍的疾病,similar,腿枝短粗,other
CA缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,轻者肢,other
CA缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,腿皮肤有鳞片状皮屑,other
CA缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,重者腿,other
CA缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,皮肤严重角化,other
CA缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,肢掌有裂缝,other
CA缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,羽毛末端严重缺损,other
CA缺乏症,引起腿部肿胀、引起运动性障碍的疾病,different,尤以翼羽明显,other
鸡新城疫（肺脑型）,引起神经症状的疾病,similar,四肢麻痹,symptom
鸡新城疫（肺脑型）,引起神经症状的疾病,similar,共济失调,other
鸡新城疫（肺脑型）,引起神经症状的疾病,similar,因肌肉痉挛,other
鸡新城疫（肺脑型）,引起神经症状的疾病,similar,震颤,symptom
鸡新城疫（肺脑型）,引起神经症状的疾病,similar,常引起转圈运动,other
鸡新城疫（肺脑型）,引起神经症状的疾病,different,有呼吸道症状,symptom
鸡新城疫（肺脑型）,引起神经症状的疾病,different,剖检见十二指肠,pathology
鸡新城疫（肺脑型）,引起神经症状的疾病,different,卵黄蒂后2-3CM,other
鸡新城疫（肺脑型）,引起神经症状的疾病,different,回盲处淋巴滤泡肿胀,symptom
鸡新城疫（肺脑型）,引起神经症状的疾病,different,出血,symptom
鸡新城疫（肺脑型）,引起神经症状的疾病,different,溃疡,pathology
鸡新城疫（肺脑型）,引起神经症状的疾病,different,腺胃乳头顶端出血,symptom
鸡新城疫（肺脑型）,引起神经症状的疾病,different,溃疡,pathology
鸡新城疫（肺脑型）,引起神经症状的疾病,different,各日龄段均可发病,age_feature
马立克氏病（神经型）,引起神经症状的疾病,similar,轻者运动失调,other
马立克氏病（神经型）,引起神经症状的疾病,similar,步态异常,other
马立克氏病（神经型）,引起神经症状的疾病,similar,重者瘫痪,symptom
马立克氏病（神经型）,引起神经症状的疾病,similar,呈“劈叉”病症,other
马立克氏病（神经型）,引起神经症状的疾病,different,特征性“劈叉”姿势,other
马立克氏病（神经型）,引起神经症状的疾病,different,剖检见腰荐神经丛,pathology
马立克氏病（神经型）,引起神经症状的疾病,different,臂神经丛,other
马立克氏病（神经型）,引起神经症状的疾病,different,坐骨神经均呈单侧性肿粗,other
马立克氏病（神经型）,引起神经症状的疾病,different,神经的横纹消失,other
马立克氏病（神经型）,引起神经症状的疾病,different,多发于青年鸡,age_feature
鸡传染性脑脊髓炎,引起神经症状的疾病,similar,共济失调,other
鸡传染性脑脊髓炎,引起神经症状的疾病,similar,走路前后摇晃,other
鸡传染性脑脊髓炎,引起神经症状的疾病,similar,步态不稳,other
鸡传染性脑脊髓炎,引起神经症状的疾病,similar,以跗关节,other
鸡传染性脑脊髓炎,引起神经症状的疾病,similar,翅膀支撑前行,other
鸡传染性脑脊髓炎,引起神经症状的疾病,different,头颈部震颤,symptom
鸡传染性脑脊髓炎,引起神经症状的疾病,different,尤其在受惊后,other
鸡传染性脑脊髓炎,引起神经症状的疾病,different,将鸡倒提起时,other
鸡传染性脑脊髓炎,引起神经症状的疾病,different,震颤加强,symptom
鸡传染性脑脊髓炎,引起神经症状的疾病,different,剖检见脑水肿,pathology
鸡传染性脑脊髓炎,引起神经症状的疾病,different,充血,other
鸡传染性脑脊髓炎,引起神经症状的疾病,different,但无出血现象,symptom
鸡传染性脑脊髓炎,引起神经症状的疾病,different,肌胃内有细小的灰白色病变区,pathology
鸡传染性脑脊髓炎,引起神经症状的疾病,different,多发于三周龄以内的雏鸡,age_feature
禽流感,引起神经症状的疾病,similar,翅麻痹,symptom
禽流感,引起神经症状的疾病,similar,轻瘫,other
禽流感,引起神经症状的疾病,different,胸肌,other
禽流感,引起神经症状的疾病,different,腿肌出血,symptom
禽流感,引起神经症状的疾病,different,胸骨内侧胰腺边缘出血,symptom
禽流感,引起神经症状的疾病,different,肌胃角质膜下出血明显,symptom
禽流感,引起神经症状的疾病,different,输卵管内有鼻涕样液体,pathology
大肠杆菌病（脑炎型）,引起神经症状的疾病,similar,垂头,other
大肠杆菌病（脑炎型）,引起神经症状的疾病,similar,昏睡状,other
大肠杆菌病（脑炎型）,引起神经症状的疾病,similar,有的鸡有歪头,other
大肠杆菌病（脑炎型）,引起神经症状的疾病,similar,斜颈共济失调,other
大肠杆菌病（脑炎型）,引起神经症状的疾病,similar,抽搐症状,symptom
大肠杆菌病（脑炎型）,引起神经症状的疾病,different,脑膜充血,other
大肠杆菌病（脑炎型）,引起神经症状的疾病,different,出血,symptom
大肠杆菌病（脑炎型）,引起神经症状的疾病,different,小脑膜及实质有许多针尖大小出血点,symptom
大肠杆菌病（脑炎型）,引起神经症状的疾病,different,涂片染色,lab_feature
大肠杆菌病（脑炎型）,引起神经症状的疾病,different,镜检可见革蓝氏阴性小杆菌,symptom
食盐中毒,引起神经症状的疾病,similar,高度兴奋,other
食盐中毒,引起神经症状的疾病,similar,奔跑,other
食盐中毒,引起神经症状的疾病,similar,重者倒地仰卧,other
食盐中毒,引起神经症状的疾病,similar,抽搐,symptom
食盐中毒,引起神经症状的疾病,different,抢水严重,other
食盐中毒,引起神经症状的疾病,different,伴有严重腹泻,symptom
食盐中毒,引起神经症状的疾病,different,剖检脑膜充血,pathology
食盐中毒,引起神经症状的疾病,different,水肿,other
食盐中毒,引起神经症状的疾病,different,出血,symptom
叶酸缺乏症,引起神经症状的疾病,similar,颈部肌肉麻痹,symptom
叶酸缺乏症,引起神经症状的疾病,similar,抬头向前平伸,other
叶酸缺乏症,引起神经症状的疾病,similar,啄着地,other
叶酸缺乏症,引起神经症状的疾病,different,软颈”症状与肉毒中毒相似,symptom
叶酸缺乏症,引起神经症状的疾病,different,但病鸡精神尚好,other
叶酸缺乏症,引起神经症状的疾病,different,胫骨短粗,other
叶酸缺乏症,引起神经症状的疾病,different,有时可见滑腱症”,symptom
叶酸缺乏症,引起神经症状的疾病,different,般不易出现叶酸缺乏症,symptom
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,similar,头颈弯曲有时出现角弓反张,symptom
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,similar,两腿痉挛抽搐,symptom
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,similar,行走不稳,other
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,similar,瘫痪,symptom
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,different,脑充血,other
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,different,水肿,other
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,different,有散在出血点,symptom
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,different,以小脑尤为明显,other
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,different,大脑后半球有液化灶,other
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,different,脑实质严重软化,other
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,different,呈粥样,other
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,different,肌肉苍白,other
VE和硒缺乏症（脑软化症）,引起神经症状的疾病,different,多见于雏鸡,age_feature
VB1缺乏症,引起神经症状的疾病,similar,抽搐,symptom
VB1缺乏症,引起神经症状的疾病,similar,共济失调,other
VB1缺乏症,引起神经症状的疾病,similar,呈角弓反张症状,symptom
VB1缺乏症,引起神经症状的疾病,different,呈特征性的观星症状,symptom
VB1缺乏症,引起神经症状的疾病,different,剖检可见胃,symptom
VB1缺乏症,引起神经症状的疾病,different,肠道萎缩,pathology
VB1缺乏症,引起神经症状的疾病,different,右心扩张,other
VB1缺乏症,引起神经症状的疾病,different,松弛,other
VB1缺乏症,引起神经症状的疾病,different,雏鸡多为突然发生,age_feature
VB1缺乏症,引起神经症状的疾病,different,成年鸡发病慢,age_feature
VB6缺乏症,引起神经症状的疾病,similar,雏鸡异常兴奋,age_feature
VB6缺乏症,引起神经症状的疾病,similar,盲目奔跑,other
VB6缺乏症,引起神经症状的疾病,similar,共济失调,other
